1638655322525-0,PT_HE,1980,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,402,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655322661-0,PT_HE,1981,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,401,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655322796-0,PT_HE,1987,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,403,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655322931-0,PT_HE,1988,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,407,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655323066-0,PT_HE,1988,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,405,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655323201-0,PT_HE,1985,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-2,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,428,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655323337-0,PT_HE,1979,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,3,TC_FUEL_PV,-131,TC_LOX_PV,414,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655323471-0,PT_HE,1980,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,416,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655323610-0,PT_HE,1980,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,420,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
1638655323746-0,PT_HE,1981,PT_Purge,20,PT_Pneu,30,PT_FUEL_PV,-5,PT_LOX_PV,-1,PT_CHAM,2,TC_FUEL_PV,-131,TC_LOX_PV,415,TC_LOX_Valve_Main,130,TC_WATER_In,140,TC_WATER_Out,150,TC_CHAM,300,FT_Thrust,500,FL_WATER,250
