Timestamp,PT_HE,PT_Purge,PT_Pneu,PT_FUEL_PV,PT_LOX_PV,PT_CHAM,TC_FUEL_PV,TC_LOX_PV,TC_LOX_Valve_Main,TC_WATER_In,TC_WATER_Out,TC_CHAM,FT_Thrust,FL_WATER
1638506682830,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506682900,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506682974,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683046,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506683121,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683195,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683264,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506683338,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683411,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506683485,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683554,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683629,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506683702,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683776,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683849,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506683920,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506683993,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506684066,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506684140,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506684209,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506684284,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506684357,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506684431,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506684501,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506684574,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506684648,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506684722,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506684795,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506684865,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506684939,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506685013,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506685086,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506685156,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506685229,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506685304,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506685377,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506685446,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506685522,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506685595,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506685668,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506685741,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506685812,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506685884,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506685959,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506686033,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506686102,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506686176,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
